tick,time_of_day,time_window,open_orders,created_window_1,created_window_2,created_window_3,created_window_4,completed_window_1,completed_window_2,completed_window_3,completed_window_4
300,0.08,1,1,423,2951,2403,1502,423,2945,2393,1513
600,0.17,1,1,423,2951,2403,1502,423,2945,2393,1513
900,0.25,1,0,423,2951,2403,1502,423,2945,2393,1513
1200,0.33,1,1,423,2951,2403,1502,423,2945,2393,1513
1500,0.42,1,1,423,2951,2403,1502,423,2945,2393,1513
1800,0.5,1,0,423,2951,2403,1502,423,2945,2393,1513
2100,0.58,1,0,423,2951,2403,1502,423,2945,2393,1513
2400,0.67,1,1,423,2951,2403,1502,423,2945,2393,1513
2700,0.75,1,2,423,2951,2403,1502,423,2945,2393,1513
3000,0.83,1,1,423,2951,2403,1502,423,2945,2393,1513
3300,0.92,1,2,423,2951,2403,1502,423,2945,2393,1513
3600,1,1,1,423,2951,2403,1502,423,2945,2393,1513
3900,1.08,1,2,423,2951,2403,1502,423,2945,2393,1513
4200,1.17,1,0,423,2951,2403,1502,423,2945,2393,1513
4500,1.25,1,2,423,2951,2403,1502,423,2945,2393,1513
4800,1.33,1,1,423,2951,2403,1502,423,2945,2393,1513
5100,1.42,1,0,423,2951,2403,1502,423,2945,2393,1513
5400,1.5,1,0,423,2951,2403,1502,423,2945,2393,1513
5700,1.58,1,0,423,2951,2403,1502,423,2945,2393,1513
6000,1.67,1,1,423,2951,2403,1502,423,2945,2393,1513
6300,1.75,1,0,423,2951,2403,1502,423,2945,2393,1513
6600,1.83,1,0,423,2951,2403,1502,423,2945,2393,1513
6900,1.92,1,0,423,2951,2403,1502,423,2945,2393,1513
7200,2,1,2,423,2951,2403,1502,423,2945,2393,1513
7500,2.08,1,0,423,2951,2403,1502,423,2945,2393,1513
7800,2.17,1,0,423,2951,2403,1502,423,2945,2393,1513
8100,2.25,1,0,423,2951,2403,1502,423,2945,2393,1513
8400,2.33,1,1,423,2951,2403,1502,423,2945,2393,1513
8700,2.42,1,0,423,2951,2403,1502,423,2945,2393,1513
9000,2.5,1,1,423,2951,2403,1502,423,2945,2393,1513
9300,2.58,1,0,423,2951,2403,1502,423,2945,2393,1513
9600,2.67,1,0,423,2951,2403,1502,423,2945,2393,1513
9900,2.75,1,2,423,2951,2403,1502,423,2945,2393,1513
10200,2.83,1,0,423,2951,2403,1502,423,2945,2393,1513
10500,2.92,1,0,423,2951,2403,1502,423,2945,2393,1513
10800,3,1,0,423,2951,2403,1502,423,2945,2393,1513
11100,3.08,1,0,423,2951,2403,1502,423,2945,2393,1513
11400,3.17,1,2,423,2951,2403,1502,423,2945,2393,1513
11700,3.25,1,0,423,2951,2403,1502,423,2945,2393,1513
12000,3.33,1,0,423,2951,2403,1502,423,2945,2393,1513
12300,3.42,1,0,423,2951,2403,1502,423,2945,2393,1513
12600,3.5,1,1,423,2951,2403,1502,423,2945,2393,1513
12900,3.58,1,0,423,2951,2403,1502,423,2945,2393,1513
13200,3.67,1,1,423,2951,2403,1502,423,2945,2393,1513
13500,3.75,1,1,423,2951,2403,1502,423,2945,2393,1513
13800,3.83,1,0,423,2951,2403,1502,423,2945,2393,1513
14100,3.92,1,0,423,2951,2403,1502,423,2945,2393,1513
14400,4,1,1,423,2951,2403,1502,423,2945,2393,1513
14700,4.08,1,0,423,2951,2403,1502,423,2945,2393,1513
15000,4.17,1,1,423,2951,2403,1502,423,2945,2393,1513
15300,4.25,1,0,423,2951,2403,1502,423,2945,2393,1513
15600,4.33,1,0,423,2951,2403,1502,423,2945,2393,1513
15900,4.42,1,0,423,2951,2403,1502,423,2945,2393,1513
16200,4.5,1,0,423,2951,2403,1502,423,2945,2393,1513
16500,4.58,1,0,423,2951,2403,1502,423,2945,2393,1513
16800,4.67,1,0,423,2951,2403,1502,423,2945,2393,1513
17100,4.75,1,0,423,2951,2403,1502,423,2945,2393,1513
17400,4.83,1,1,423,2951,2403,1502,423,2945,2393,1513
17700,4.92,1,1,423,2951,2403,1502,423,2945,2393,1513
18000,5,1,1,423,2951,2403,1502,423,2945,2393,1513
18300,5.08,1,1,423,2951,2403,1502,423,2945,2393,1513
18600,5.17,1,0,423,2951,2403,1502,423,2945,2393,1513
18900,5.25,1,2,423,2951,2403,1502,423,2945,2393,1513
19200,5.33,1,1,423,2951,2403,1502,423,2945,2393,1513
19500,5.42,1,0,423,2951,2403,1502,423,2945,2393,1513
19800,5.5,1,1,423,2951,2403,1502,423,2945,2393,1513
20100,5.58,1,0,423,2951,2403,1502,423,2945,2393,1513
20400,5.67,1,1,423,2951,2403,1502,423,2945,2393,1513
20700,5.75,1,0,423,2951,2403,1502,423,2945,2393,1513
21000,5.83,1,0,423,2951,2403,1502,423,2945,2393,1513
21300,5.92,1,0,423,2951,2403,1502,423,2945,2393,1513
21600,6,1,1,423,2951,2403,1502,423,2945,2393,1513
21900,6.08,1,0,423,2951,2403,1502,423,2945,2393,1513
22200,6.17,1,1,423,2951,2403,1502,423,2945,2393,1513
22500,6.25,1,0,423,2951,2403,1502,423,2945,2393,1513
22800,6.33,1,0,423,2951,2403,1502,423,2945,2393,1513
23100,6.42,1,2,423,2951,2403,1502,423,2945,2393,1513
23400,6.5,1,0,423,2951,2403,1502,423,2945,2393,1513
23700,6.58,1,1,423,2951,2403,1502,423,2945,2393,1513
24000,6.67,1,0,423,2951,2403,1502,423,2945,2393,1513
24300,6.75,1,0,423,2951,2403,1502,423,2945,2393,1513
24600,6.83,1,0,423,2951,2403,1502,423,2945,2393,1513
24900,6.92,1,0,423,2951,2403,1502,423,2945,2393,1513
25200,7,1,0,423,2951,2403,1502,423,2945,2393,1513
25500,7.08,1,0,423,2951,2403,1502,423,2945,2393,1513
25800,7.17,1,0,423,2951,2403,1502,423,2945,2393,1513
26100,7.25,1,0,423,2951,2403,1502,423,2945,2393,1513
26400,7.33,1,1,423,2951,2403,1502,423,2945,2393,1513
26700,7.42,1,2,423,2951,2403,1502,423,2945,2393,1513
27000,7.5,1,1,423,2951,2403,1502,423,2945,2393,1513
27300,7.58,1,1,423,2951,2403,1502,423,2945,2393,1513
27600,7.67,1,2,423,2951,2403,1502,423,2945,2393,1513
27900,7.75,1,1,423,2951,2403,1502,423,2945,2393,1513
28200,7.83,1,0,423,2951,2403,1502,423,2945,2393,1513
28500,7.92,1,0,423,2951,2403,1502,423,2945,2393,1513
28800,8,1,0,423,2951,2403,1502,423,2945,2393,1513
29100,8.08,1,1,423,2951,2403,1502,423,2945,2393,1513
29400,8.17,1,0,423,2951,2403,1502,423,2945,2393,1513
29700,8.25,1,3,423,2951,2403,1502,423,2945,2393,1513
30000,8.33,1,0,423,2951,2403,1502,423,2945,2393,1513
30300,8.42,1,1,423,2951,2403,1502,423,2945,2393,1513
30600,8.5,1,0,423,2951,2403,1502,423,2945,2393,1513
30900,8.58,1,0,423,2951,2403,1502,423,2945,2393,1513
31200,8.67,1,1,423,2951,2403,1502,423,2945,2393,1513
31500,8.75,1,0,423,2951,2403,1502,423,2945,2393,1513
31800,8.83,1,0,423,2951,2403,1502,423,2945,2393,1513
32100,8.92,1,2,423,2951,2403,1502,423,2945,2393,1513
32400,9,2,1,423,2951,2403,1502,423,2945,2393,1513
