Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_1,867,"41.0185","28.221","9311.4636","2699.3294","289","109.8909","0.002","78.1667","0","1163.933",0,"867","0","289","109.8909"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_2,418,"30.6603","13.5795","4128.4659","138.4657","139.3333","7.5719","0.0141","90.3021","0","516.0582",0,"418","0","139.3333","7.5719"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_3,864,"49.8044","35.097","10509.8908","3969.7328","288","146.4275","0.2926","75.3742","0","1313.7364",0,"865","0","288","146.4275"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_4,1294,"84.4219","80.8213","18114.3252","444.6675","431.3333","4.7258","0.0389","57.6497","0","2264.2906",0,"1294","0","431.3333","4.7258"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_5,889,"48.6603","35.4666","10562.4027","4026.7158","296.3333","121.4098","0.2697","75.2554","0","1320.3003",0,"890","0","296.3333","121.4098"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_6,1269,"61.4192","55.343","15483.2792","1212.0414","423","12.1244","0.1242","63.7546","0","1935.4099",0,"1270","0","423","12.1244"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_7,1307,"53.8799","48.1909","14510.681","2563.4033","435.6667","38.8887","0.5356","65.9834","0","1813.8351",0,"1308","0","435.6667","38.8887"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_8,897,"47.7804","43.6917","9759.9256","5340.0963","299","136.2938","0","77.1057","0","1219.9907",0,"897","0","299","136.2938"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_9,1332,"59.9872","54.4878","15325.355","3033.977","444","21.9317","0.0043","64.0965","0","1915.6694",0,"1332","0","444","21.9317"
"autonomy-level=0","autonomy-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_10,1313,"58.6969","55.877","15038.1166","1374.757","437.6667","12.0554","0.3111","64.7635","0","1879.7646",0,"1313","0","437.6667","12.0554"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_1,2558,"118.1661","180.6328","25961.0764","1857.6506","852.6667","33.8575","0.0287","35.38","0","3245.1345",0,"2558","0","852.6667","33.8575"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_2,1794,"68.2352","75.3585","19480.4737","483.5082","598","5.5678","0.0032","50.7492","0","2435.0592",0,"1794","0","598","5.5678"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_3,2166,"113.7433","133.495","26421.3065","2520.3896","722","124.904","0.5886","35.8719","0","3302.6633",0,"2168","0","722","124.904"
