Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD,AvgOpenOrders,MaxOpenOrders,CreatedWindow1,CreatedWindow2,CreatedWindow3,CreatedWindow4,CompletedWindow1,CompletedWindow2,CompletedWindow3,CompletedWindow4
"autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7181,"198.7491","429.7555","8696.2626","4709.1266","239.3667","121.7897","0.1091","79.6406","0","10870.3283",0,"7184","0","239.3667","121.7897","16.5923","186","441","2960","2379","1407","441","2951","2202","1587"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7136,"46.0621","21.2877","8590.4181","1986.4171","237.8667","36.6698","0.0999","78.3313","0","10738.0226",0,"7138","0","237.8667","36.6698","3.9164","27","398","2920","2407","1413","398","2918","2390","1430"
"autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7128,"51.5509","22.6303","8674.6685","741.72","237.6","18.444","0.0494","3.3588","74.3137","10843.3357",5855,"1277","4.585","237.6","18.444","4.1638","24","401","2967","2319","1446","400","2964","2307","1457"
"autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7157,"50.8909","25.3589","8501.9745","585.6041","238.5667","15.4243","0.112","2.285","76.6592","10627.4681",4172,"135","30.9037","238.5667","15.4243","4.115","26","428","2951","2375","1408","428","2948","2366","1415"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7171,"44.4425","21.0938","8538.1453","2005.9999","239.0333","35.1268","0.1518","78.5127","0","10672.6816",0,"7177","0","239.0333","35.1268","3.6829","24","408","2940","2385","1444","407","2939","2362","1463"
"autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7160,"50.2779","22.2268","8577.8878","300.1746","238.6667","2.3829","0.2454","3.1347","74.739","10722.3597",0,"1220","0","238.6667","2.3829","4.115","22","424","2962","2396","1387","424","2960","2382","1394"
"autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7312,"47.7486","29.0383","8841.676","1856.2986","243.7333","29.8755","0.0569","76.3718","0","11052.095",0,"7313","0","243.7333","29.8755","4.1498","23","435","2984","2404","1490","435","2979","2393","1505"
"autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7289,"52.3858","29.9298","8847.2153","301.4223","242.9667","3.528","0.072","1.4699","76.6627","11059.0192",0,"254","0","242.9667","3.528","4.3101","41","427","3040","2404","1423","426","3038","2398","1427"
"autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7348,"51.4001","26.7737","8885.1628","264.9177","244.9333","2.5452","0.191","1.6407","76.3605","11106.4535",0,"221","0","244.9333","2.5452","4.2544","21","462","2992","2389","1509","462","2988","2376","1522"
"autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7228,"52.7125","31.1461","8837.9023","321.2763","240.9333","4.0338","0.1151","1.2046","76.886","11047.3779",0,"249","0","240.9333","4.0338","4.2997","33","476","2921","2355","1481","476","2916","2348","1488"
