Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_1,2590,"48.6224","40.9729","13143.6051","796.455","431.6667","10.4817","0.0617","69.1661","0","3285.9013",0,"2591","0","431.6667","10.4817"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_2,2599,"56.9007","53.4238","14382.2649","1627.5005","433.1667","22.1668","0.3559","66.2764","0","3595.5662",0,"2601","0","433.1667","22.1668"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_3,2654,"62.3949","57.0174","15744.6784","1089.9204","442.3333","29.1662","0.5591","63.1233","0","3936.1696",0,"2658","0","442.3333","29.1662"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_4,2510,"64.653","59.7668","15510.2494","2844.2867","418.3333","12.2257","0.2557","63.6871","0","3877.5623",0,"2513","0","418.3333","12.2257"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_5,2601,"61.3222","51.9453","15422.5106","1552.5671","433.5","26.6364","0.0907","63.8856","0","3855.6277",0,"2602","0","433.5","26.6364"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_6,2666,"61.9002","55.1583","15754.3025","1746.5572","444.3333","16.9666","0.1699","63.1173","0","3938.5756",0,"2666","0","444.3333","16.9666"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_7,2612,"61.9839","63.429","15432.145","2628.1888","435.3333","23.2694","0.317","63.8671","0","3858.0362",0,"2613","0","435.3333","23.2694"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_8,2588,"57.175","48.3414","14542.0276","1472.4647","431.3333","8.1404","0.1889","65.9306","0","3635.5069",0,"2588","0","431.3333","8.1404"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_9,2619,"57.4364","55.5524","14644.2791","1637.5027","436.5","22.421","0.1169","65.6906","0","3661.0698",0,"2619","0","436.5","22.421"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_10,2611,"57.6201","55.5586","14629.5334","1507.0684","435.1667","15.6002","0.4648","65.6958","0","3657.3834",0,"2614","0","435.1667","15.6002"

